id;calories;proteins;fat;carbohydrate;name;composition;origin
897;468.0;7.6;20.4;62.4;Mie Goreng ;Gandum;Jawa Tengah
910;218.0;0.8;16.0;50.2;Misro ;sayuran;Jawa Barat
923;276.0;3.2;3.2;30.2;Nasi Goreng ;sayuran;DKI Jakarta
924;190.0;4.7;7.5;26.0;Nasi gurih;sayuran;DKI Jakarta
927;155.0;10.3;4.2;19.1;Nasi rames;sayuran;DKI Jakarta
928;120.0;2.4;0.4;26.0;Nasi tim;sayuran;Jawa Timur
929;253.3;4.3;21.0;11.7;Nasi Uduk ;sayuran;DKI Jakarta
931;600.0;14.0;41.7;42.0;Noga Kacang Tanah ;Kacang;DI Yogyakarta
932;387.0;5.3;7.6;74.3;Nopia spesial;sayuran;Jawa Tengah
934;187.0;13.0;6.0;22.6;Oncom;sayuran;Jawa Barat
935;376.0;14.9;6.0;65.7;Oncom ampas kacang hijau;sayuran;Jawa Barat
936;363.3;19.3;19.3;40.3;Oncom Goreng ;sayuran;Jawa Barat
